"HolderAddress","Balance","PendingBalanceUpdate"
"0x0016958b8998d09c0cc8f0c19f5c29bfc286ea96","223271375.192","No"
"0x00d86eaef4ff106dc7984da26e7804bbc0810235","45043.231","No"
"0x0127f7553e3d91bba38626490773a49c4b4c9e7c","1796.89410112826","No"
"0x0139c13f6f44e8e3fc768229a6ae3c5ee690c49a","10214.8112551308","No"
"0x0178217e241aa00787461cf044c69e8292c3863e","500","No"
"0x017c41a469ca172537afa701ad413967da97674b","150535.125","No"
"0x0224fc9e8171edec42c88645dacc82f50f9a72d7","4660","No"
"0x024b38dd3e19761858731a1dcddb14d9ab2f6c8d","119513.936","No"
"0x0261d48a8289f0cd2a576200344d904284c1425f","10020.0150504196","No"
"0x026f549694ccbdac252436b611b75c463ea497ec","101448.673","No"
"0x02a82e159076d01cb657d0b2a66b699e5a7d5ba9","5000.00102393437","No"
"0x02defc874c7f3cb1050efd79b882e76748f9e91a","3154.96599216404","No"
"0x032e7be65c1bc36780f1e3d506ef7a01a07793cc","14320.5839109131","No"
"0x0337349cb9fa35380428b3783e61698728c8398b","15783.7447302354","No"
"0x03989662033eb16ea5395bcc570378d0cf82b9ee","16909.332","No"
"0x04081e17b7832065582dbffa63a6af59fd37b307","13654","No"
"0x0451cc1f1c830f44a1e39e5a66ee871902ff7dad","324.312413800621","No"
"0x04611773bcd8a6748b63e963a2dfd8c3180bc9f2","105434.936","No"
"0x049b8e0e5315294ef95698e5ef657602ada4695c","2416.669","No"
"0x04b4d7230c2f1ca0d848cfe3cf2358d08bc20833","6938.892","No"
"0x050bc4d2797d43ed0068fc9a60b83a064fd8a91c","23581.8499462825","No"
"0x051134289a3d82b8df14ca28dc5073203b4035f0","53513.51831585","No"
"0x05681ff6b2a48c749e9036f7a291c6a2241e5a27","249087.15","No"
"0x05d2b89bd65d8b73a0d8ce000efa621640dfa4c8","85134.7599194159","No"
"0x0630aa53b3b77e048db040e76db6008e6c4cef29","7316.64","No"
"0x064802459a7e8d5d15ed2f7d50cba79e056e777c","199863.342","No"
"0x06903e988b832575831496854b6018d46609129f","393089.194","No"
"0x069ef2feb3113424d20cb8e44701eda9d472089b","100000","No"
"0x06bc929905dc61452c37dda34f68397ddf01bbd3","11495.2799313809","No"
"0x06bf7280c18855fc8d9817bc3e2c65afcba3e004","8450.88820635356","No"
"0x06d135bdf56b40ba3d0859997b8132f7943bb3bc","1000","No"
"0x06e385c11a6def6bc2c7323694eb8b3d12d016d9","50421.81651431","No"
"0x070c8eba534900e54d74b215d1dc54d8b05514be","12057","No"
"0x072ad9ac14e94bac95923ddbd4cb9d727f9c1c80","26900","No"
"0x074267a37ec6de7dd6fe57fa43021f96e0aae9e2","879.255","No"
"0x07ea333f47fb24ab5984a7ef958a2fc1b0ce79e7","1310784.93","No"
"0x07eb0d0364d65f9f32dd0106c1e374d05af602b8","3824567","No"
"0x084f1b825b95de6136fdbaa2b4baed3c96bca196","70200","No"
"0x09611739dfc18de0302e1911dddec5e161fbf850","1010000","No"
"0x0976a83c24b3772a9ccfe433eec94d959f76bd7d","3201571","No"
"0x09c378d50224623e747bf84618e31bc0ab713fa6","9513.936","No"
"0x0a933abb3a022263890992b29e302d9453b4bae5","502851.353361876","No"
"0x0abd4010482fbdcba99bc4467a331eb51a26fd80","22055.209","No"
"0x0bfda7aed9d996f7df0d023d7627c7cb3ac4af01","8000.00044583949","No"
"0x0d5577e427ba116666c4c2a0298e000aa347acce","2716.3776303842","No"
"0x0da2f81d73210e856d75ebf4a3c25c245ddfc15d","16946","No"
"0x0e149d52e062f5ceacd6fb8e6f49697fa21a16bf","53520.4617801901","No"
"0x0e9b900efc2a46a6540dea2beb0e75c2ef4348b2","10813.2200925849","No"
"0x0eb74a101fe4a636d3434588e374a4a6f6af1848","23015.5527543501","No"
"0x0ee8716f610e140137a27ecf980b5ec7af4f964b","13687.5392511009","No"
"0x0f7739f2f93753ab14e0faf5c9a3ee4519674aee","4000","No"
"0x0f9192b12bdd97f4351c252f63aa1e28c02d66fa","79928.5258864788","No"
"0x0fd95c6aab9e21b79eeaeb78e6b13de93305f8c0","44369.76635703","No"
"0x0fdbb13c88cbaf66a9da0625810370598c216b57","3008.76375041333","No"
"0x10a09b3ab82351b17ac982e37dcec0f7062ee0ec","10760.2371393597","No"
"0x10f56908dfea63170156c05cf84188e177c433e0","15000","No"
"0x1166d17cbe8eb0ff38bfe4130e3621da570d6c34","3499814.561","No"
"0x11b97520fceaed22e0c90e65532c293230452d77","5080.2991021353","No"
"0x11d39c930de7bb8e5a3d2fe10529c034f25dac56","1000","No"
"0x1289dbdf47423891cdb42b99e17d300ca21d6f92","0.795","No"
"0x12cb2c87cc31c907e2e296c3d420490e71e2a78c","1591.89985139115","No"
"0x133ba3906b2b521be15f0dc52a198cb3f550aaef","1200","No"
"0x13c7253e000044acc0c4d51c4fd4a798d91dd399","20438.73","No"
"0x13e856de31dccf0280802cd291b2c7c882d73d0c","52412.9836247109","No"
"0x148065e69f28fbea43f8e2794626ea5dfe317a7f","3098591.83597693","No"
"0x14efc225175279b96743ae7e354f62aa419a999b","6689.13701788055","No"
"0x15151ac99bba4ee669199efbdcd0d3af6d70fcb6","37234.5706452403","No"
"0x1538ac87b1ba863f9637c19c0c9d9a1ba98bc27d","135000","No"
"0x161f576efe407b2b9a10068edda89bacd2a185ed","669741.296832658","No"
"0x1632e8e1ee37f3edc4f3486c562effd69c560b75","31777.2243602877","No"
"0x166fd8a664816fff74ef9f7b90ce2d06a61cc25c","26325","No"
"0x16a13490ac70358dc92b946c8aa322e7a1f61df3","28959.2326580326","No"
"0x16f23e1f46f831f9886b510575c8eb778fb31884","25786.6481935211","No"
"0x1706440ad7757b587f7213416bb81cdf564deedf","19355.4211831291","No"
"0x176dddb9758e49d900eac37c2d7f62053ec9c234","4431.00383660238","No"
"0x17b48e423bdb75737839577c4e912aefe5a4e43d","9737.83163175576","No"
"0x1879f566d46fc8e59f26500e178fd31bf3493e06","13.2975","No"
"0x188bc740e008838d46f198481c11d349bafa71ad","2147.065","No"
"0x18f09fde9958701090583f82f817b093d765325b","49775.5869233242","No"
"0x19437efe9cfc9656103a7870f9b4918de23d11bd","3315189.59824232","No"
"0x19daceb04165ef0cbb045d7fd0ededce38fdcd61","2713.59470920289","No"
"0x19fa5828b99c82172fc48d282f1194fde0b67783","79745.7119059768","No"
"0x1a2869ad1e52acf28afb6dbd4b402a514fba2b65","647482.620309839","No"
"0x1a39496bf3c0cb0ac1556011bd3fe02ed9edd583","157176.642","No"
"0x1a8c43e138ed7334f659ee037064ac0639f22d68","11361","No"
"0x1afabbc5edfef55a52eb15a352bc272507c82882","7839794.00949218","No"
"0x1b12e9914c306ccecc099f303fe8b7efb37ef92b","316876.721316034","No"
"0x1b210dfd0014373ab8c8738ebcd9aa58b0c2b288","2688.66","No"
"0x1b2a1e448ec57ede6b51ccf9180c8c031f2fdc4d","10831.1081333689","No"
"0x1b69535e009ae821e4861f5b617769c3c412cd7c","9201.26165136843","No"
"0x1b9e7959ecb018a8ce609e43860f4f672b0afce9","17079.936","No"
"0x1bbfeb4a3c7b5be76e8b11e74dd06335df94f55a","10451.8794848476","No"
"0x1bcd84f2c41c96ea21c46203f870730ed6d97330","57201.81","No"
"0x1c0c89b25e0ccee2e3e11d0ad773364b81911c47","25971.6058051672","No"
"0x1c28c64118329320b7a90500d31550ddbadc544f","7000","No"
"0x1c4dd8738900f223b3f1ce4a0d277d69967cacb8","3000","No"
"0x1c5580e4200fd6d1a79411e4d3a16ca157f52207","70814.25","No"
"0x1ceb0ab2104f2b2d5c2fe6f4f4413995ffe99fb7","78838.11","No"
"0x1d2e59f28c22cdacdad28eec144f200e91e6f759","549862.56","No"
"0x1d6899d289dbdfeb83e19661263fe033e37e6e59","20615.4453371536","No"
"0x1d921960be958e2929b3d5bc1f8685b36a45edfa","20000","No"
"0x1dfc029355488cf58230ade026f5a1214c86fb51","99985.936","No"
"0x1e04d27d694bd60a6c454be4eedd5ed928fe0c15","8791.80889019241","No"
"0x1e0b16d340ed938a71467998e997e995110ed596","84404.75","No"
"0x1e6b5986852ad914c5f3a7d3fa19478d6371053e","30000","No"
"0x1e74d5086600f9aa0db8e9abbfb9ca836d24f387","694.699590656184","No"
"0x1e97b8324451f3b474311750cd4c2d9af9970986","45233.37","No"
"0x1ee644d59440cb69718127e6c0db2c93754716b1","28899.207742233","No"
"0x1f7cb23d543602b953dffe0e3e603b0a25b5a07b","92551.7163518349","No"
"0x20779b4c60d1a24248534d9c46dc9513ab874561","9806.37087060865","No"
"0x20a73256f10e739c550e31b914ba61fce99594cb","27492.53821578","No"
"0x20e83065f3eb16df5d81a3d5a07dd1d731d1f107","4438.61619509858","No"
"0x21e0caf85a620e2ce427c33014113c0d9f6091cb","12139.1786061591","No"
"0x21fe2885ff61f2f31ff72e4a320ed26047f23dc1","13790.654","No"
"0x220b278dd16cf14f13e054a2fe0dc767efc6aee3","41514","No"
"0x221c9a149f2a850971c5e884af31f5facdf83996","144509.465","No"
"0x221c9f5c14904397bf7f197e7b0ad16d53fd704a","0.43875","No"
"0x2226c422dbe7ce782c6a6274eab612ddbc6a37e9","4441.59390320067","No"
"0x22d22075faa8e921d3b91ddb2a8a2a255219df40","100000.355837917","No"
"0x22dc31da9778effe64c519aff9fc032d7fa21dfa","2000","No"
"0x22f5c016deca12687069539112dba0fa9f243787","549974.847154257","No"
"0x22fc3ef90bc833da6b3a4c71fe57fb3504e4161a","21569.936","No"
"0x23567a727320fe9af6cfc54c7664b7c39e639b9e","5033.274","No"
"0x237b7c6b93b6d6e3d9fa8b6c2069aabb96b70a3d","16672.5","No"
"0x23bfd8b2d7766cff1ecfc85036f76ce0f4e637da","1464.81","No"
"0x23c3b88f50cc5a77f2057a2ae67c957a8c9bafb6","77325.669","No"
"0x23e0a1bdc43a19a9cc06f19bc7f433bdfdd1516e","17447.5034388769","No"
"0x2411c3ac17c30b3c9b2c3932fad85c432c91aaad","39108.1598122184","No"
"0x24e9fb39c5f69a9dfc6558a3df26468731cd76c1","2470","No"
"0x24ffb2d21dda81ca893eac89aa6169344bb32dca","7204.4427213277","No"
"0x251cace6a321449b1d523ac20b7b4fd6a9c3f7f4","87066.7445949316","No"
"0x259c6ef818b78eb56ec69f14d5933ce363508887","9920.402","No"
"0x25e7bbd217b57d57e1e6e601f6194d98c92ba72d","7787.98922543671","No"
"0x26900f15b5c2f945fa6f2ab92ffb9d86f55838c6","16095.1687932776","No"
"0x26b53609d6d52f1d4ffeecd8256515d4acd87a5b","22952.026778911","No"
"0x270694d1363eca20de72a675eaebf325c978b567","45344.936","No"
"0x270f5ee6dc4812429f6cdb121efaf5b452edc1dc","8920.65515734485","No"
"0x27771ffd3cfc86e8cf98b94adca22afd17fd0163","11111","No"
"0x27954749a549cff2f2f4c96fa6e747f99c770343","723.06","No"
"0x280cd93e862c23cb95d77299253659747f5d8617","500","No"
"0x28aecd3fc053570f07175cc8b4c6404f88edd51d","7220.53470364902","No"
